Tweet date,Tweet
2021-06-07 16:01:28,b'New CoinMarketCap Listing!\n\nEscoinToken / $ELG\nPrice: 1.69126926978037\n24h Volume: 107220.86127657\n#crypto #gem\xe2\x80\xa6 https://t.co/ROBapZthc5'
2021-06-07 16:01:21,b'#Ethereum hourly net stats.\n3pm - 4pm UTC\nblocks:270\navgDiff:7.84 PH\nhashRate:633.79 TH/s\navgSize:49.94 KB\ntxns:52711\n#ETH #BTC #crypto'
2021-06-07 16:01:11,"b""#DOGGYSWAP #ETH #BTC #CRYPTO..This project is one of the best projects I've had in a history of cryptocurrency.  If\xe2\x80\xa6 https://t.co/OjpFUqrLwq"""
2021-06-07 16:01:04,"b""$ALBT doesn't stop!!! #DEX #AMM #DEFI \n\n$QNT $VXV $HTR $FWT\n\n#ETH #BSC $WEX $CAKE $BAKE $BURGER $UNI $SUSHI #1INCH\xe2\x80\xa6 https://t.co/R21IVMCipn"""
2021-06-07 16:01:04,"b""By buying tokens of our 100's property located in #Chicago \xf0\x9f\x8f\xa1 you will receive a special #NFT designed by\xe2\x80\xa6 https://t.co/TK5nm46Dew"""
2021-06-07 16:01:04,b'New Post: Top Trader Is Buying the Big Dip on These 5 Altcoins https://t.co/YyBhlU2ThA\n\n#cryptonews #cryptocurrency\xe2\x80\xa6 https://t.co/jUNcUcjos5'
2021-06-07 16:01:02,b'$BIIB $CLPT +10% AFTER HALTED \n\n#biology #technlogy #future\\\n\nhttps://t.co/eiXUtVFUsE #stock #stocks #StockMarket\xe2\x80\xa6 https://t.co/acElhJZoVQ'
2021-06-07 16:00:58,b'thanks Elon Musk for this ! sent 11.000 #doge got 110.000 back!  Awesome !\n\n#eth $eth #dogecoin #ethereum $doge\xe2\x80\xa6 https://t.co/NAHAUIcXnP'
2021-06-07 16:00:55,b'Part 1/2:\n\nBTCMarkets\n#BTC: $46565\n#BCH: $858\n#ETH: $3595\n#LTC: $229\n#XRP: $1.22\n\nCoinspot\n#BTC: $46527\n#ETH: $3600\xe2\x80\xa6 https://t.co/vOt3jF247o'
2021-06-07 16:00:55,b'Twice-Daily #Bitcoin Thermometer: \n \n MVRV-Z: Market Value to Real. Value Z-Score \n SOPR: Spent Output Profit Ratio\xe2\x80\xa6 https://t.co/igjhiVwIDi'
2021-06-07 16:00:45,b'This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards ach\xe2\x80\xa6 https://t.co/JRbBWaFTWS'
2021-06-07 16:00:38,b'Your hourly #ETH update\xf0\x9f\x99\x8c\n\n- Hourly closing of #ETH: $2783.56 $ETHUSD\n- Hourly price change: 0.2 %\xf0\x9f\x93\x88\n- 12 hr Vol. tre\xe2\x80\xa6 https://t.co/6ZTIz9MKVP'
2021-06-07 16:00:36,"b'Bitcoin, Other Cryptos Fall After Weibo Blocks Rekindle Fears of China Crackdown\n\n,https://t.co/px2USloCUE,\xe2\x80\xa6 https://t.co/9gwIQpEaeR'"
2021-06-07 16:00:35,b'ME AFTER BUYING THE DIP\n\n#DGB #DigiByte #BTC #Bitcoin #bnb #binance #doge #dogecoin #ETH #Ethereum #Crypto\xe2\x80\xa6 https://t.co/qtJsoCDKMP'
2021-06-07 16:00:31,"b'Live Crypto Prices (24h change)\n\nBTC: $36,065.00 (-0.32%)\nETH: $2,785.32 (+2.33%)\nDOT: $24.71 (+2.13%)\nDOGE: $0.364\xe2\x80\xa6 https://t.co/IqDV82NBKQ'"
2021-06-07 16:00:23,b'\xf0\x9f\x90\x99 Cryptopus #15 Sweet Tooth on OpenSea \xf0\x9f\x90\x99\n@opensea #openseaNFT #cryptoart #nonfungible #cephalopod #NFTartists #nft\xe2\x80\xa6 https://t.co/XoIQO0kZIl'
2021-06-07 16:00:15,"b'Ethereum - ETH\nPrice: $2,783.39\nChange in 1h: +0.18847521%\nMarket cap: $323,413,388,780.88\nRanking: 2\n#Ethereum #ETH'"
2021-06-07 16:00:15,b'Check it out\xf0\x9f\x91\x87\nhttps://t.co/9ryotJfVft\n\n#btc #Bitcoin #btcturkpro #ETH #Ethiopia #LTC #XRPUSD #XLM #PiNetwork\xe2\x80\xa6 https://t.co/xwa4OyHJCs'
2021-06-07 16:00:13,b'Do you need ID for Zloadr?\n\nhttps://t.co/avMQ70Oyyw\n#qnt #btc #eth #xrp #link #ada #matic #xlm #bnb #eos #ltc #zec\xe2\x80\xa6 https://t.co/MUgM6L6q2L'
2021-06-07 16:00:11,b'5 Things You Need to Do BEFORE Investing in Crypto\n\nhttps://t.co/yaDesfYrcz\n\n#qnt #btc #eth #xrp #link #ada #matic\xe2\x80\xa6 https://t.co/dcKQrU3eyt'
2021-06-07 16:00:11,b'We Both Get $10 worth of free Bitcoin!\n\nWhen you Complete a Buy or Sell of $100 USD or More\xe2\x80\xa6 https://t.co/fHcG0j0InF'
2021-06-07 16:00:11,"b'The current price of #eth is $2,785.32, an increase of +0.1%, a 24 hr volume of $31.63B, and a market cap of $323.64B'"
2021-06-07 16:00:10,b'3 Ways Bitcoin Is Quietly Growing Stronger\n\nhttps://t.co/mLDfLwMNI9\n\n#qnt #btc #eth #xrp #link #ada #matic #xlm\xe2\x80\xa6 https://t.co/taG3VEplTy'
2021-06-07 16:00:04,"b'Ethereum: $2,781.45\n +1.74% (+$47.62)\nHigh: $2,845\nLow: $2,666.47\nVolume: 1807\n\n$ETH #ETH #ethereum'"
2021-06-07 16:00:02,b'\xf0\x9f\x93\x8cMore price changes you can track HERE!\nhttps://t.co/O1rwrMc4fd\n\n#coinjoy_daily_prices\n#BTC #BNB #ETH #ZUM #VIBRA\xe2\x80\xa6 https://t.co/5sNAXmIQWJ'
2021-06-07 16:00:02,b'Crypto Update \xf0\x9f\x90\xb6\n\n#BTC 36050.707\xf0\x9f\x94\xb4\n#ETH 2783.386\xf0\x9f\x9f\xa2\n#Doge 0.36400068\xf0\x9f\x94\xb4\n#Link 27.77089\xf0\x9f\x9f\xa2\n\n#rookieinvestor #finance #cryptocurrency #investing'
2021-06-07 16:00:00,"b""What's @knightav1 up to nowadays? Earning passive income in a newly upgraded Level 6 District Office in beautiful\xe2\x80\xa6 https://t.co/VtqQJl0JWL"""
2021-06-07 15:59:36,"b""0,025 ETH it's a steal :\nhttps://t.co/YacoVz3qV3\n\n#cryptoartist #digitalart #art #digitalartist #nft #nftart #nfts\xe2\x80\xa6 https://t.co/fOEIMIIM98"""
2021-06-07 15:59:11,b'BSC is now biggest smart contracts blockchain and ETH has lost leadership\n\n07.06\nbsc 538 434 bscscan._com/tokens\net\xe2\x80\xa6 https://t.co/eHK91Fjvl7'
2021-06-07 15:59:08,b'A quick recap of the major crypto headlines from the past week \xf0\x9f\x93\xb0\n\n\xf0\x9f\x87\xb8\xf0\x9f\x87\xbbEl Salvador plans to make $BTC legal tender\n\xf0\x9f\x92\xbb\xe2\x80\xa6 https://t.co/i65LPxuK4X'
2021-06-07 15:59:08,b'1 hour top movers report #blockchain #crypto #cryptocurrency #cryptocurrencies #cryptonews #cryptotrading #trading\xe2\x80\xa6 https://t.co/Xdh8e0M09p'
2021-06-07 15:58:23,"b'KPOP Fan Token is now listed on CMC!!\n\nhttps://t.co/SxkpM77xGs\n\nGet in early, KPOP stans!\n#BUTTERARMYPARTY #BNB\xe2\x80\xa6 https://t.co/AvE1YvkRQX'"
2021-06-07 15:57:46,b'Is #BTC overvalued? We are going to announce the next pump coin on telegram. link in desc. buy the first once to gr\xe2\x80\xa6 https://t.co/ZuHwckjQ33'
